location_id,character_id
20,721
20,722
20,723
20,724
20,725
20,726
20,727
20,728
20,729
20,730
20,732
20,733
20,734
20,735
20,737
20,738
20,739
20,740
20,741
20,742
20,753
20,754
20,755
20,756
20,757
20,758
20,759
20,760
20,761
20,762
20,763
20,764
20,765
20,766
20,767
20,768
20,769
20,770
20,771
20,772
20,773
20,774
20,775
20,776
20,777
20,778
20,781
20,786
20,788
20,789
20,790
20,791
20,794
20,800
20,813
20,821
20,826
21,7
21,436
22,24
22,309
23,37
23,91
23,176
23,183
23,195
24,65
24,388
25,67
25,490
25,491
27,79
27,84
28,90
28,188
28,301
28,336
28,355
28,372
29,93
29,104
29,198
30,822
30,823
30,824
30,825
32,106
32,393
32,449
32,450
32,451
34,39
34,177
34,232
34,290
34,339
35,47
35,75
35,102
35,194
35,199
35,256
35,261
35,308
35,311
35,331
35,379
37,142
37,296
37,297
37,319
37,369
38,144
38,158
39,150
40,168
40,211
40,376
41,153
42,159
42,160
43,161
43,162
43,212
43,213
43,253
44,174
44,257
44,441
44,442
44,443
44,444
44,445
44,446
46,87
46,191
46,270
46,337
47,192
47,307
47,419
47,420
47,421
47,422
48,41
48,193
48,238
48,333
49,348
50,197
50,364
54,252
55,258
56,269
57,282
57,447
57,448
63,350
66,371
70,397
70,398
71,424
71,425
72,404
72,427
72,428
73,426
74,429
74,430
74,431
74,432
76,470
77,242
77,498
77,499
77,500
77,501
77,502
78,313
78,571
78,572
78,573
78,574
78,576
78,577
78,578
78,579
78,580
78,581
78,582
78,583
78,587
78,589
79,494
79,495
79,496
80,503
80,504
80,505
80,506
81,507
81,508
82,515
82,518
82,519
82,520
82,521
82,522
83,525
83,527
83,528
83,533
84,543
85,529
85,530
86,531
87,532
87,542
88,544
88,545
88,546
88,547
88,548
88,549
88,550
88,551
88,552
88,553
89,554
89,555
89,556
89,557
89,558
93,559
93,560
94,563
94,565
94,566
94,567
94,568
94,569
96,597
96,598
96,599
96,600
96,601
96,606
96,607
96,611
96,612
96,615
96,616
96,617
96,618
96,619
96,620
96,622
96,623
96,624
96,626
96,627
96,630
96,631
96,632
96,633
96,634
96,637
96,638
97,593
98,594
98,595
98,596
98,605
98,609
98,610
98,639
99,602
99,604
99,613
99,621
99,628
99,629
100,603
100,608
100,614
100,625
100,635
100,636
101,640
101,641
101,642
101,643
101,644
101,645
101,646
101,647
102,648
102,649
102,650
102,651
103,652
103,655
103,656
103,657
103,658
103,661
104,653
104,654
104,659
104,660
105,344
105,670
105,671
106,662
106,663
106,664
106,665
106,666
107,668
108,669
110,673
110,674
110,675
110,676
110,677
110,678
110,679
110,681
110,682
110,683
110,685
112,799
113,718
113,798
115,731
115,736
116,744
116,745
116,746
116,747
116,748
116,749
116,750
117,743
118,751
118,752
120,780
120,782
120,783
120,784
120,785
122,792
122,793
123,795
123,796
124,797
125,787
125,808
125,809
126,94
126,215
126,274
126,294
126,389
126,779
126,807
126,814
126,815
126,816
126,817
