id,name,status,species,type,gender,origin_id,origin_name,origin_url,location_id,location_name,location_url,image_url,image_file,episode_ids,episode_urls,url,created
11,Albert Einstein,Dead,Human,,Male,1,Earth (C-137),https://rickandmortyapi.com/api/location/1,20,Earth (Replacement Dimension),https://rickandmortyapi.com/api/location/20,https://rickandmortyapi.com/api/character/avatar/11.jpeg,images/characters/011-albert-einstein.jpeg,12,https://rickandmortyapi.com/api/episode/12,https://rickandmortyapi.com/api/character/11,2017-11-04T20:20:20.965Z
12,Alexander,Dead,Human,,Male,1,Earth (C-137),https://rickandmortyapi.com/api/location/1,5,Anatomy Park,https://rickandmortyapi.com/api/location/5,https://rickandmortyapi.com/api/character/avatar/12.jpeg,images/characters/012-alexander.jpeg,3,https://rickandmortyapi.com/api/episode/3,https://rickandmortyapi.com/api/character/12,2017-11-04T20:32:33.144Z
13,Alien Googah,unknown,Alien,,unknown,,unknown,,20,Earth (Replacement Dimension),https://rickandmortyapi.com/api/location/20,https://rickandmortyapi.com/api/character/avatar/13.jpeg,images/characters/013-alien-googah.jpeg,31,https://rickandmortyapi.com/api/episode/31,https://rickandmortyapi.com/api/character/13,2017-11-04T20:33:30.779Z
14,Alien Morty,unknown,Alien,,Male,,unknown,,3,Citadel of Ricks,https://rickandmortyapi.com/api/location/3,https://rickandmortyapi.com/api/character/avatar/14.jpeg,images/characters/014-alien-morty.jpeg,10,https://rickandmortyapi.com/api/episode/10,https://rickandmortyapi.com/api/character/14,2017-11-04T20:51:31.373Z
15,Alien Rick,unknown,Alien,,Male,,unknown,,3,Citadel of Ricks,https://rickandmortyapi.com/api/location/3,https://rickandmortyapi.com/api/character/avatar/15.jpeg,images/characters/015-alien-rick.jpeg,10,https://rickandmortyapi.com/api/episode/10,https://rickandmortyapi.com/api/character/15,2017-11-04T20:56:13.215Z
16,Amish Cyborg,Dead,Alien,Parasite,Male,,unknown,,20,Earth (Replacement Dimension),https://rickandmortyapi.com/api/location/20,https://rickandmortyapi.com/api/character/avatar/16.jpeg,images/characters/016-amish-cyborg.jpeg,15,https://rickandmortyapi.com/api/episode/15,https://rickandmortyapi.com/api/character/16,2017-11-04T21:12:45.235Z
17,Annie,Alive,Human,,Female,1,Earth (C-137),https://rickandmortyapi.com/api/location/1,5,Anatomy Park,https://rickandmortyapi.com/api/location/5,https://rickandmortyapi.com/api/character/avatar/17.jpeg,images/characters/017-annie.jpeg,3,https://rickandmortyapi.com/api/episode/3,https://rickandmortyapi.com/api/character/17,2017-11-04T22:21:24.481Z
18,Antenna Morty,Alive,Human,Human with antennae,Male,,unknown,,3,Citadel of Ricks,https://rickandmortyapi.com/api/location/3,https://rickandmortyapi.com/api/character/avatar/18.jpeg,images/characters/018-antenna-morty.jpeg,10|28,https://rickandmortyapi.com/api/episode/10|https://rickandmortyapi.com/api/episode/28,https://rickandmortyapi.com/api/character/18,2017-11-04T22:25:29.008Z
19,Antenna Rick,unknown,Human,Human with antennae,Male,,unknown,,,unknown,,https://rickandmortyapi.com/api/character/avatar/19.jpeg,images/characters/019-antenna-rick.jpeg,10,https://rickandmortyapi.com/api/episode/10,https://rickandmortyapi.com/api/character/19,2017-11-04T22:28:13.756Z
20,Ants in my Eyes Johnson,unknown,Human,Human with ants in his eyes,Male,,unknown,,6,Interdimensional Cable,https://rickandmortyapi.com/api/location/6,https://rickandmortyapi.com/api/character/avatar/20.jpeg,images/characters/020-ants-in-my-eyes-johnson.jpeg,8,https://rickandmortyapi.com/api/episode/8,https://rickandmortyapi.com/api/character/20,2017-11-04T22:34:53.659Z
21,Aqua Morty,unknown,Humanoid,Fish-Person,Male,,unknown,,3,Citadel of Ricks,https://rickandmortyapi.com/api/location/3,https://rickandmortyapi.com/api/character/avatar/21.jpeg,images/characters/021-aqua-morty.jpeg,10|22,https://rickandmortyapi.com/api/episode/10|https://rickandmortyapi.com/api/episode/22,https://rickandmortyapi.com/api/character/21,2017-11-04T22:39:48.055Z
22,Aqua Rick,unknown,Humanoid,Fish-Person,Male,,unknown,,3,Citadel of Ricks,https://rickandmortyapi.com/api/location/3,https://rickandmortyapi.com/api/character/avatar/22.jpeg,images/characters/022-aqua-rick.jpeg,10|22|28,https://rickandmortyapi.com/api/episode/10|https://rickandmortyapi.com/api/episode/22|https://rickandmortyapi.com/api/episode/28,https://rickandmortyapi.com/api/character/22,2017-11-04T22:41:07.171Z
23,Arcade Alien,unknown,Alien,,Male,,unknown,,7,Immortality Field Resort,https://rickandmortyapi.com/api/location/7,https://rickandmortyapi.com/api/character/avatar/23.jpeg,images/characters/023-arcade-alien.jpeg,13|19|21|25|26,https://rickandmortyapi.com/api/episode/13|https://rickandmortyapi.com/api/episode/19|https://rickandmortyapi.com/api/episode/21|https://rickandmortyapi.com/api/episode/25|https://rickandmortyapi.com/api/episode/26,https://rickandmortyapi.com/api/character/23,2017-11-05T08:43:05.095Z
24,Armagheadon,Alive,Alien,Cromulon,Male,22,Signus 5 Expanse,https://rickandmortyapi.com/api/location/22,22,Signus 5 Expanse,https://rickandmortyapi.com/api/location/22,https://rickandmortyapi.com/api/character/avatar/24.jpeg,images/characters/024-armagheadon.jpeg,16,https://rickandmortyapi.com/api/episode/16,https://rickandmortyapi.com/api/character/24,2017-11-05T08:48:30.776Z
25,Armothy,Dead,unknown,Self-aware arm,Male,8,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/location/8,8,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/location/8,https://rickandmortyapi.com/api/character/avatar/25.jpeg,images/characters/025-armothy.jpeg,23,https://rickandmortyapi.com/api/episode/23,https://rickandmortyapi.com/api/character/25,2017-11-05T08:54:29.343Z
26,Arthricia,Alive,Alien,Cat-Person,Female,9,Purge Planet,https://rickandmortyapi.com/api/location/9,9,Purge Planet,https://rickandmortyapi.com/api/location/9,https://rickandmortyapi.com/api/character/avatar/26.jpeg,images/characters/026-arthricia.jpeg,20,https://rickandmortyapi.com/api/episode/20,https://rickandmortyapi.com/api/character/26,2017-11-05T08:56:46.165Z
27,Artist Morty,Alive,Human,,Male,,unknown,,3,Citadel of Ricks,https://rickandmortyapi.com/api/location/3,https://rickandmortyapi.com/api/character/avatar/27.jpeg,images/characters/027-artist-morty.jpeg,10|28,https://rickandmortyapi.com/api/episode/10|https://rickandmortyapi.com/api/episode/28,https://rickandmortyapi.com/api/character/27,2017-11-05T08:59:07.457Z
28,Attila Starwar,Alive,Human,,Male,,unknown,,6,Interdimensional Cable,https://rickandmortyapi.com/api/location/6,https://rickandmortyapi.com/api/character/avatar/28.jpeg,images/characters/028-attila-starwar.jpeg,8|13|17,https://rickandmortyapi.com/api/episode/8|https://rickandmortyapi.com/api/episode/13|https://rickandmortyapi.com/api/episode/17,https://rickandmortyapi.com/api/character/28,2017-11-05T09:02:16.595Z
29,Baby Legs,Alive,Human,Human with baby legs,Male,,unknown,,6,Interdimensional Cable,https://rickandmortyapi.com/api/location/6,https://rickandmortyapi.com/api/character/avatar/29.jpeg,images/characters/029-baby-legs.jpeg,8,https://rickandmortyapi.com/api/episode/8,https://rickandmortyapi.com/api/character/29,2017-11-05T09:06:19.644Z
30,Baby Poopybutthole,Alive,Poopybutthole,,Male,,unknown,,,unknown,,https://rickandmortyapi.com/api/character/avatar/30.jpeg,images/characters/030-baby-poopybutthole.jpeg,31,https://rickandmortyapi.com/api/episode/31,https://rickandmortyapi.com/api/character/30,2017-11-05T09:13:16.483Z
31,Baby Wizard,Dead,Alien,Parasite,Male,,unknown,,20,Earth (Replacement Dimension),https://rickandmortyapi.com/api/location/20,https://rickandmortyapi.com/api/character/avatar/31.jpeg,images/characters/031-baby-wizard.jpeg,15,https://rickandmortyapi.com/api/episode/15,https://rickandmortyapi.com/api/character/31,2017-11-05T09:15:11.286Z
32,Bearded Lady,Dead,Alien,Parasite,Female,,unknown,,20,Earth (Replacement Dimension),https://rickandmortyapi.com/api/location/20,https://rickandmortyapi.com/api/character/avatar/32.jpeg,images/characters/032-bearded-lady.jpeg,15,https://rickandmortyapi.com/api/episode/15,https://rickandmortyapi.com/api/character/32,2017-11-05T09:18:04.184Z
33,Beebo,Dead,Alien,,Male,10,Venzenulon 7,https://rickandmortyapi.com/api/location/10,10,Venzenulon 7,https://rickandmortyapi.com/api/location/10,https://rickandmortyapi.com/api/character/avatar/33.jpeg,images/characters/033-beebo.jpeg,29,https://rickandmortyapi.com/api/episode/29,https://rickandmortyapi.com/api/character/33,2017-11-05T09:21:55.595Z
34,Benjamin,Alive,Poopybutthole,,Male,,unknown,,6,Interdimensional Cable,https://rickandmortyapi.com/api/location/6,https://rickandmortyapi.com/api/character/avatar/34.jpeg,images/characters/034-benjamin.jpeg,8|13|17,https://rickandmortyapi.com/api/episode/8|https://rickandmortyapi.com/api/episode/13|https://rickandmortyapi.com/api/episode/17,https://rickandmortyapi.com/api/character/34,2017-11-05T09:24:04.748Z
35,Bepisian,Alive,Alien,Bepisian,unknown,11,Bepis 9,https://rickandmortyapi.com/api/location/11,11,Bepis 9,https://rickandmortyapi.com/api/location/11,https://rickandmortyapi.com/api/character/avatar/35.jpeg,images/characters/035-bepisian.jpeg,1|11|19|25,https://rickandmortyapi.com/api/episode/1|https://rickandmortyapi.com/api/episode/11|https://rickandmortyapi.com/api/episode/19|https://rickandmortyapi.com/api/episode/25,https://rickandmortyapi.com/api/character/35,2017-11-05T09:27:38.491Z
36,Beta-Seven,Alive,Alien,Hivemind,unknown,,unknown,,,unknown,,https://rickandmortyapi.com/api/character/avatar/36.jpeg,images/characters/036-beta-seven.jpeg,14,https://rickandmortyapi.com/api/episode/14,https://rickandmortyapi.com/api/character/36,2017-11-05T09:31:08.952Z
37,Beth Sanchez,Alive,Human,,Female,23,Earth (C-500A),https://rickandmortyapi.com/api/location/23,23,Earth (C-500A),https://rickandmortyapi.com/api/location/23,https://rickandmortyapi.com/api/character/avatar/37.jpeg,images/characters/037-beth-sanchez.jpeg,8,https://rickandmortyapi.com/api/episode/8,https://rickandmortyapi.com/api/character/37,2017-11-05T09:38:22.960Z
38,Beth Smith,Alive,Human,,Female,1,Earth (C-137),https://rickandmortyapi.com/api/location/1,1,Earth (C-137),https://rickandmortyapi.com/api/location/1,https://rickandmortyapi.com/api/character/avatar/38.jpeg,images/characters/038-beth-smith.jpeg,1|2|3|4|5|6|22|51,https://rickandmortyapi.com/api/episode/1|https://rickandmortyapi.com/api/episode/2|https://rickandmortyapi.com/api/episode/3|https://rickandmortyapi.com/api/episode/4|https://rickandmortyapi.com/api/episode/5|https://rickandmortyapi.com/api/episode/6|https://rickandmortyapi.com/api/episode/22|https://rickandmortyapi.com/api/episode/51,https://rickandmortyapi.com/api/character/38,2017-11-05T09:48:44.230Z
39,Beth Smith,Alive,Human,,Female,34,Earth (Evil Rick's Target Dimension),https://rickandmortyapi.com/api/location/34,34,Earth (Evil Rick's Target Dimension),https://rickandmortyapi.com/api/location/34,https://rickandmortyapi.com/api/character/avatar/39.jpeg,images/characters/039-beth-smith.jpeg,10,https://rickandmortyapi.com/api/episode/10,https://rickandmortyapi.com/api/character/39,2017-11-05T09:52:31.777Z
40,Beth's Mytholog,Dead,Mythological Creature,Mytholog,Female,13,Nuptia 4,https://rickandmortyapi.com/api/location/13,13,Nuptia 4,https://rickandmortyapi.com/api/location/13,https://rickandmortyapi.com/api/character/avatar/40.jpeg,images/characters/040-beth-s-mytholog.jpeg,18,https://rickandmortyapi.com/api/episode/18,https://rickandmortyapi.com/api/character/40,2017-11-05T10:02:26.701Z
41,Big Boobed Waitress,Alive,Mythological Creature,,Female,48,Fantasy World,https://rickandmortyapi.com/api/location/48,48,Fantasy World,https://rickandmortyapi.com/api/location/48,https://rickandmortyapi.com/api/character/avatar/41.jpeg,images/characters/041-big-boobed-waitress.jpeg,5,https://rickandmortyapi.com/api/episode/5,https://rickandmortyapi.com/api/character/41,2017-11-05T10:13:45.960Z
42,Big Head Morty,unknown,Human,Human with giant head,Male,,unknown,,3,Citadel of Ricks,https://rickandmortyapi.com/api/location/3,https://rickandmortyapi.com/api/character/avatar/42.jpeg,images/characters/042-big-head-morty.jpeg,22,https://rickandmortyapi.com/api/episode/22,https://rickandmortyapi.com/api/character/42,2017-11-05T10:15:53.349Z
43,Big Morty,Dead,Human,,Male,,unknown,,3,Citadel of Ricks,https://rickandmortyapi.com/api/location/3,https://rickandmortyapi.com/api/character/avatar/43.jpeg,images/characters/043-big-morty.jpeg,28,https://rickandmortyapi.com/api/episode/28,https://rickandmortyapi.com/api/character/43,2017-11-05T10:17:04.997Z
44,Body Guard Morty,Dead,Human,,Male,,unknown,,3,Citadel of Ricks,https://rickandmortyapi.com/api/location/3,https://rickandmortyapi.com/api/character/avatar/44.jpeg,images/characters/044-body-guard-morty.jpeg,28,https://rickandmortyapi.com/api/episode/28,https://rickandmortyapi.com/api/character/44,2017-11-05T10:18:11.062Z
45,Bill,Alive,Human,,Male,1,Earth (C-137),https://rickandmortyapi.com/api/location/1,1,Earth (C-137),https://rickandmortyapi.com/api/location/1,https://rickandmortyapi.com/api/character/avatar/45.jpeg,images/characters/045-bill.jpeg,3,https://rickandmortyapi.com/api/episode/3,https://rickandmortyapi.com/api/character/45,2017-11-05T10:22:27.446Z
46,Bill,unknown,Animal,Dog,Male,20,Earth (Replacement Dimension),https://rickandmortyapi.com/api/location/20,,unknown,,https://rickandmortyapi.com/api/character/avatar/46.jpeg,images/characters/046-bill.jpeg,2,https://rickandmortyapi.com/api/episode/2,https://rickandmortyapi.com/api/character/46,2017-11-05T10:24:38.089Z
47,Birdperson,Alive,Alien,Bird-Person,Male,15,Bird World,https://rickandmortyapi.com/api/location/15,35,Planet Squanch,https://rickandmortyapi.com/api/location/35,https://rickandmortyapi.com/api/character/avatar/47.jpeg,images/characters/047-birdperson.jpeg,11|16|21|22|26|49|51,https://rickandmortyapi.com/api/episode/11|https://rickandmortyapi.com/api/episode/16|https://rickandmortyapi.com/api/episode/21|https://rickandmortyapi.com/api/episode/22|https://rickandmortyapi.com/api/episode/26|https://rickandmortyapi.com/api/episode/49|https://rickandmortyapi.com/api/episode/51,https://rickandmortyapi.com/api/character/47,2017-11-05T11:13:36.018Z
