id,name,wiki_title,wiki_url,description_source_text,source_ids,status,notes
11,Bepis 9,Bepisians,https://rickandmorty.fandom.com/wiki/Bepisians,"Bepisians are an alien species often seen throughout the Universe.

They had at some point been visited by Shrimply Pibbles, the galaxy's most influential civil rights leader, suggesting they have experienced oppression or great misfortune in the past.

Several Bepisians worked as security guards at St. Gloopy Noops Hospital during the time of Shrimply Pibbles' stay and kept the crowd at bay when Jerry Smith attempted to go back on his promise of donating his penis to replace Pibbles' heart.

*""Pilot""
*""Mortynight Run""
*""Interdimensional Cable 2: Tempting Fate""
*""The Wedding Squanchers""
*""Vindicators 3: The Return of Worldender""",locations-11-wiki|locations-11-api,ok,
12,Cronenberg Earth,Cronenbergs,https://rickandmorty.fandom.com/wiki/Cronenbergs,"Cronenbergs are hideously mutated creatures found in the multiverse. They were formerly the inhabitants of Cronenberg World, but is now the major species on planet Earth in the Prime Dimension. (previously misidentified as Dimension C-137) .

These genetically-mutated creatures were made accidentally by Rick in the episode ""Rick Potion No. 9"" when he tried to turn the ""Mantis-people"" back into regular Humans. Everyone on Earth became Cronenbergs except for Jerry, Beth, and Summer, due to being closely related to Morty. In another universe, where everyone had previously been Cronenbergs (Cronenberg World), the opposite happened and everyone were accidentally turned into savage Humans by Cronenberg Rick and Morty. They both fled to the Prime Dimension to continue living among Cronenbergs.

In ""The Rickshank Rickdemption"". it has been shown that Jerry, Beth, and Summer have been subsisting on Cronenberg meat for some time. This indicates that, up until that point, at least a small population of Cronenbergs survived since the date of their mutation.

In the episode ""Solaricks"", multiple Cronenbergs are seen roaming around in the Prime Dimension as one attacks Morty when he is sent back into his original dimension after Jerry Smith Prime hunts and cooks it. Another one is later seen attacking Morty as the latter runs away from it.

In the ""Rick and Morty Issue 45"", Cronenberg Morty explains to Summer that the Cronenbergs of the Prime Dimension are just savage creatures, whereas the Cronenbergs of Cronenberg World were civilized and more like humans.

In the ""Rick and Morty: Rick's New Hat"" comic series, some Cronenergs shown as sentient creatures. They survived together with Mr. Poopybutthole Prime and looked for a place to live.",locations-12-wiki|locations-12-api,ok,
13,Nuptia 4,Nuptia 4,https://rickandmorty.fandom.com/wiki/Nuptia_4,"Nuptia 4 is the galaxy's most successful couples counseling institute. The institute's head counselor is Glexo Slim Slom.

Rick sends Beth and Jerry there for a two-day intensive in the episode ""Big Trouble In Little Sanchez"". Upon arrival, they were connected to a machine which created physical manifestations of their perceptions of each other: Jerry's and Beth's Mythologs. The mythos were placed in a cell to be a stop on the visitors' mythos-tour taking place shortly after; but while watching the mythos of Gar and Zarbadar Gloonch, Beth and Jerry's mythos initiated a plan to escape their cell and wreck havoc on the institute. After the visitors were killed and the surviving staff escaped, Beth and Jerry were left behind and managed to defeat Beth's Mytholog by creating Goddess Beth. Rick later picked up Beth and Jerry with the institute in ruins.",locations-13-wiki|locations-13-api,ok,
14,Giant's Town,Fantasy Planet,https://rickandmorty.fandom.com/wiki/Fantasy_Planet,"The Fantasy Planet is a location inhabited by humans, as well as other beings, in a medieval-themed setting. A beanstalk connects the planet's surface with the Giant World; a highly more advanced land in the sky populated by Giants.

This planet is the planet which Morty took Rick to when he could choose their next adventure. They found a village in which Morty took upon a quest to seek out gold in Giant World, which is located in the sky above the planets surface.

When having reached the Giant World, they were accused of ""giant murder"" after a fatal accident, but released because they were never read their rights.

They next reached a bar where Morty was attempted raped by King Jellybean and Rick won a large sum of Schmeckles, which they gave to the village. As they left, Rick shot their king with his Laser gun for attacking Morty.",locations-14-wiki|locations-14-api,ok,
15,Bird World,Bird World,https://rickandmorty.fandom.com/wiki/Bird_World,"Bird World is the planet where Birdperson lives. TV-signals from Earth take 20 years to reach this planet, meaning it's 20 light-years away from Earth.

Birdperson lived through the deep casualties of the ""Bird Wars"" in his early life, which gave way to his acute understanding of mortality and pain.

The Gromflomites and the Galactic Federation invaded Bird World during Birdperson's youth. The Galactic Federation kept the native population oppressed during their rule over the planet; a rule that ended following the Battle of Blood Ridge, where the Galactic Federation suffered a great loss. The planet returned to a more normal state where Bird People could live without fear of Gromflomites.

Birdperson made mention of his homeplanet during his visit to the Smith Residence in ""Ricksy Business"", and received a visit from Morty Smith in ""Get Schwifty"". Parts of Bird World was shown as memories during Rick's trip through Birdperson's mind in ""Rickternal Friendshine of the Spotless Mort"".",locations-15-wiki|locations-15-api,ok,
16,St. Gloopy Noops Hospital,St. Gloopy Noops Hospital,https://rickandmorty.fandom.com/wiki/St._Gloopy_Noops_Hospital,"St. Gloopy Noops Hospital is, according to Rick, the best hospital in the galaxy, that was featured in the episode, Interdimensional Cable 2: Tempting Fate. It is a hospital that is designed to help out numerous aliens who were hospitalized through injury or illness and is also capable of treating humans.

This hospital was where Jerry Smith was admitted into when he ate a pint of Ice cream that Rick owned that was laced with mutant bacteria and it was also where the alien civil rights activist, Shrimply Pibbles had his heart transplant. After Jerry wimped out of donating his penis to become Pibbles' new heart and receiving a lot of backlash, he held the surgical operation room hostage and tried to force them to use his penis after all. At this point, a heart had already been donated and was scheduled to be used instead.

Rick turned their regular TV box into a Interdimensional Cable in order to watch more interesting TV-shows while waiting for Jerry to recover.",locations-16-wiki|locations-16-api,ok,
17,Earth (5-126),Dimension 5126,https://rickandmorty.fandom.com/wiki/Dimension_5126,"Dimension 5126, also known as the Season 2 dimension, is the universe the series main Jerry is from. This wiki page is the strongest alias/context match for the API location Earth (5-126).",locations-17-api|locations-17-wiki-alias,alias_match,Mapped API location Earth (5-126) to wiki page Dimension 5126.
18,Mr. Goldenfold's dream,Summer Smith (Goldenfold's Dream),https://rickandmorty.fandom.com/wiki/Summer_Smith_(Goldenfold's_Dream),Summer Smith (Goldenfold's Dream) is an imaginary version of Summer that exists within Mrs. Pancakes' dream within Mr. Goldenfold's dream.,locations-18-wiki|locations-18-api,ok,
19,Gromflom Prime,Gromflom Prime,https://rickandmorty.fandom.com/wiki/Gromflom_Prime,"Gromflom Prime is the home planet of the Gromflomites.

It used to be a good planet to live on with green nature and buildings intact. However, everything changed with the chaos that ensued in the Blemflarck Crisis, created by the human Rick Sanchez. What followed was the complete destruction of the Gromflomite society, resulting in anarchy and no standard currency. With most residences destroyed, what's left is highly valued by owners and real estate agents. It seems most housing communites now are fenced communites, with only way of getting in is to bring them a ""severed head of one of the co-op board's many dangerous enemies"", according to a recently published article ""You WISH You Lived in These AMAZING Luxury Homes"" from Blurtfeed.",locations-19-wiki|locations-19-api,ok,
20,Earth (Replacement Dimension),Dimension C-131,https://rickandmorty.fandom.com/wiki/Dimension_C-131,"Dimension C-131 , (also known as the Replacement Dimension or the Frundled Dimension), is a dimension in the multiverse to which Rick Sanchez and Morty Smith traveled in the episode ""Rick Potion No. 9"" after escaping the Prime Dimension. The mainline Beth, Summer and Space Beth originate from this dimension.

Dimension C-131 is a dimension that is apparently identical to Morty's original dimension, a dimension in which Rick accidentally turned everyone into Cronenbergs.

Being too lazy to change things back to normal, Rick traveled to an alternate dimension where his counterpart had been lucky with the situation (and did fix it) and was also conveniently killed by a failed experiment alongside Morty. When they arrived, they took the dead bodies of that dimension's versions of themselves, buried them in the backyard, and continued in this timeline.

In ""Morty's Mind Blowers"", it is revealed that, at one point, Morty discovered that Dimension C-131 was run by squirrels, who managed an elaborate underground conspiracy. When the squirrels found out he knew too much and started chasing after him, Morty ran back to Rick who neutralized the rodents and told Morty they had to move to another universe. Although behind the scenes, Rick and Morty solved the problem with the squirrels, because in subsequent episodes the crack around the Smith house from ""Ricksy Business"" and ""A Rickle in Time"" is still shown with the characters mentioning past events such as in ""Amortycan Grickfitti"".

When Rick sought to destroy the Galactic Federation in ""The Rickshank Rickdemption"", he teleported the Citadel into the Galactic Federation Prison of Dimension C-131. When the Citadel managed to extract itself from the prison, the Ricks and Mortys chose to remain in Dimension C-131.

In ""Solaricks"", Earth became infected by Mr. Frundles after Jerry C-131 released him into the world, forcing the titular Smith family to settle in another dimension.

As shown in ""Mortyplicity"", in the far future, the Earth eventually healed from its Frundlfication, and the world is re-inhabited slowly by animal-descended humanoids, eventually recreating both the 'wild west' age of humanity, and later Christianity. After all this, Glockenspiel Jerry is the last surviving member of the Smith family from this dimension.",locations-20-wiki|locations-20-api,ok,
21,Testicle Monster Dimension,Glorfingr 7,https://rickandmorty.fandom.com/wiki/Glorfingr_7,"Glorfingr 7 is a planet that is home to a bunch of giant, gooey Wharborgarbors that are obsessed with engaging in very weird forms of sexual activity and being used as sex toys. The planet has a number of small mining villages.

It appeared in the episode Ricksy Business. In this episode, Morty accidentally transported the entire house to Glorfingr 7 by knocking over an unknown machine in Rick's garage. Morty, Nancy, and Abradolf Lincler all set off to find some Kalaxian crystals to send them back to their home planet again. During their journey, Abradolf Lincler was attacked by a gigantic, two-headed dog-like creature and had to be left behind. After they were transported back home, Abradolf was gang banged by a group of Wharborgarbors. It was also revealed that one of the people at the party was still there too, being gang banged along with him, except he was enjoying it.",locations-21-wiki|locations-21-api,ok,
22,Signus 5 Expanse,Signus 5 Expanse,https://rickandmorty.fandom.com/wiki/Signus_5_Expanse,"Signus 5 Expanse is a solar system where a race of enormous floating heads, known as Cromulons, live. The center of this area appears to be a disco ball-like Star. The Cromulons also possess a giant plasma ray which they use, presumably, telepathically.

Here the Cromulons host the Cromulon reality TV show Planet Music by transporting five planets, against their will, and having them compete against each other by performing their own hit songs. Earth was transported here and was up against planets like Arboles Mentirosos and Parblesnops, and was declared the last winner of the show.

It appeared in the episode ""Get Schwifty"".",locations-22-wiki|locations-22-api,ok,
23,Earth (C-500A),Dimension C-500A,https://rickandmorty.fandom.com/wiki/Dimension_C-500A,"Dimension C-500A is an alternate dimension introduced in ""Rixty Minutes"", in this dimension, the Smith siblings, Summer and Morty, were never born.

In this dimension, Jerry Smith and Beth Sanchez went to the high school prom, and Beth got pregnant at the age of 17 years old, however, the couple had a peaceful journey as they headed to the abortion clinic, and Beth managed to have an abortion. As a result, Jerry became a famous actor (appearing in Cloud Atlas instead of Tom Hanks, as well as winning an Academy Award for another film) and Beth became a famous surgeon.

Beth never married at all and became a lonely single woman who drank large quantities of wine and housed an abnormal number of exotic birds. Jerry, while popular, was miserable and took solace in drugs (namely cocaine with Johnny Depp).

After a failed film, he had a nervous breakdown and broke out on a rampage which led to a slow-speed chase where he promptly went to Beth's home with the police in hot pursuit and confessed his love to her. This was witnessed by the Beth Smith through the Inter-Dimensional Goggles.

Jerry and Beth later publicly announced their fourth breakup over the spans of four months at the Golden Globes. Jerry rebounded from the failure of ""Last Will and Testimeow: Weekend at Dead Cat Lady's House II"" by starring in the surprise hit ""Cloud Atlas 2: Too Atlas, Too Furious.""

*""Rixty Minutes""",locations-23-wiki|locations-23-api,ok,
24,Rick's Battery Microverse,Microverse Battery,https://rickandmorty.fandom.com/wiki/Microverse_Battery,"The Microverse Battery is a gadget developed by Rick to supply power to his flying ship. It is featured in the episode ""The Ricks Must Be Crazy.""",locations-24-wiki|locations-24-api,ok,
25,The Menagerie,The Menagerie,https://rickandmorty.fandom.com/wiki/The_Menagerie,"The Menagerie is where Bulbhead houses his collection of alien species. Only the inside of the menagerie was seen in Morty's Mind Blowers.

Rick and Morty were captured and imprisoned in Bulbhead's menagerie as specimens of the human race. The collection also consisted of Gazorpians, Klaaxzovians, Pripudlians, Boobloosians, Tumblorkians, Mr. Meeseeks, Boulder People, Traflorkians and more. Using the television in their room, Rick was able to broadcast instructions on construction of a teleportation vehicle to NASA. Two NASA employees arrived in their room, where Rick and Morty offered them their coat and shirt before entering the vehicle and leaving them in the menagerie.",locations-25-wiki|locations-25-api,ok,
26,Earth (K-83),Cool Rick,https://rickandmorty.fandom.com/wiki/Cool_Rick,"Rick Sanchez (K-83), affectionately known as Cool Rick, was the supervisor at the Simple Rick’s Wafer Cookie factory before it's destruction. He was given the position after the previous supervisor was promoted to Regional Manager.",locations-26-wiki|locations-26-api,ok,
27,Hideout Planet,Crustula,https://rickandmorty.fandom.com/wiki/Crustula,"Crustula is a planet that appeared in the episode ""Close Rick-Counters of the Rick Kind"".

Evil Rick and Evil Morty built a secret hideout/torture chamber on this planet, where they held thousands of kidnapped Mortys and tortured them in order to create ""Morty waves"" to camouflage their own brain waves. Rick Sanchez, after being framed for their murders and escaping the Council of Ricks, tracked them down to this planet and defeated Evil Rick with the help of Morty Smith.",locations-27-wiki|locations-27-api,ok,
28,Unity's Planet,Unity's Planet,https://rickandmorty.fandom.com/wiki/Unity's_Planet,"The planet Unity had entirely assimilated, and planed to use to assimilate the Galactic Federation. However, Unity left the planet with its people following certain events with Rick Sanchez. Unity's current plans for the planet are unknown due to the Federation's destruction in ""The Rickshank Rickdemption"".",locations-28-wiki|locations-28-api,ok,
29,Dorian 5,Dorian 5,https://rickandmorty.fandom.com/wiki/Dorian_5,"Dorian 5 was a planet which used to be the home of an unknown alien species. This species was exterminated, along with the planet, by The Vindicators, allegedly in order to kill Doom-Nomitron.

Prior to the events in episode Vindicators 3: The Return of Worldender, The Vindicators had assembled without Rick Sanchez and Morty Smith, due to conflicting personalities, to defeat Doom-Nomitron. Calypso, Diablo Verde and Lady Katana died fighting Doom-Nomitron, possibly on Dorian 5. Doom-Nomitron, using his shape-shifting powers, hid out among the Dorian 5-population. Not being able to distinguish him from the native aliens, The Vindicators took to exterminating the whole planet to make sure they killed Doom-Nomitron.

However, in Mercy Kill (Vindicators 2), the story was revealed to be fabricated, as Doom-Nomitron was never actually there. The group was called to the planet, However, as Vance Maximus and Supernova couldn't tell the difference between the people who called them and the enemy, they brutally slaughtered the entire planet's population. The two then debate on whether to kill a survivor. After the survivor dies anyway, Supernova forces Vance to leave the planet before she has a violent miscarriage which ends up destroying the planet.",locations-29-wiki|locations-29-api,ok,
30,Earth (Unknown dimension),Rick Sanchez (dictator Morty's Rick),https://rickandmorty.fandom.com/wiki/Rick_Sanchez_(dictator_Morty's_Rick),"The Rick Sanchez of Dictator Morty original world is an alternate version of Rick Sanchez who destroyed his home dimension and became extremely evil, which made even his daughter Beth leave him. His current whereabouts are unknown.",locations-30-wiki|locations-30-api,ok,
31,Earth (J19ζ7),Dimension J19ζ7,https://rickandmorty.fandom.com/wiki/Dimension_J19%CE%B67,"{{Location
|image =
|name =
|type = Dimension
|owner = Doofus Jerry (former)
|first = Close Rick-counters of the Rick Kind (mentioned) There's Something About Morty
}}
Dimension J19ζ7 (Jay-Nineteen-Zeta-Seven) is the universe where Doofus Rick and Doofus Jerry come from.",locations-31-wiki|locations-31-api,ok,
32,Roy: A Life Well Lived,Roy: A Life Well Lived,https://rickandmorty.fandom.com/wiki/Roy%3A_A_Life_Well_Lived,"Roy: A Life Well Lived is a Virtual Reality Life Simulator, a game seen at the Blips and Chitz arcade and is played by Rick and Morty in the episode ""Mortynight Run"" and during the events of ""Rick: A Mort Well Lived"" after an unplanned power interruption left Morty's mind split into the NPC population.",locations-32-wiki|locations-32-api,ok,
33,Eric Stoltz Mask Earth,Eric Stoltz Mask Morty,https://rickandmorty.fandom.com/wiki/Eric_Stoltz_Mask_Morty,"Eric Stoltz Mask Morty is an alternate version of Morty Smith who originates from a reality where everyone is Eric Stoltz Mask people. He was assigned to be Doofus Rick's Morty since Doofus Rick never had any son or daughter. He appeared in ""Close Rick-Counters of the Rick Kind"" playing cards with other Mortys. Eric Stoltz Mask Morty is a member of the Citadel's militia.

In The Rickshank Rickdemption, many Mortys are killed when the Citadel of Ricks is transported into a prison of the Galactic Federation, it is unknown if Eric Stoltz Mask Morty is one of the Mortys who died.",locations-33-wiki|locations-33-api,ok,
34,Earth (Evil Rick's Target Dimension),Morty Smith (Evil Rick's Target Dimension),https://rickandmorty.fandom.com/wiki/Morty_Smith_(Evil_Rick's_Target_Dimension),"Morty Smith is an alternate version of the original Morty, that appeared in the episode Close Rick-Counters of the Rick Kind, he is the son of Jerry Smith and Beth Smith, the younger brother of Summer Smith, the grandson of Leonard Smith, Joyce Smith, Rick Sanchez and Diane Sanchez, the great-grandson of Rick's Father and a unnamed woman, and the great-nephew of the Unnamed Uncle. He and his grandfather Rick were the victims of Evil Rick and Evil Morty.",locations-34-wiki|locations-34-api,ok,
